Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
08-08-2013,RELIANCE,EQ,872.45,867.35,872.45,857.15,863.15,865.65,865.3,2598354,2.24835E+14,69069,1457520,0.5609
12-08-2013,RELIANCE,EQ,865.65,869,872.85,840.45,842,845.65,853.2,1995272,1.70237E+14,67414,1011327,0.5069
13-08-2013,RELIANCE,EQ,845.65,843,859.95,835,851.75,852.9,851.92,2637165,2.24666E+14,82934,1419166,0.5381
14-08-2013,RELIANCE,EQ,852.9,856,868,847.45,865.8,865,858.17,2573906,2.20886E+14,63414,1288680,0.5007
16-08-2013,RELIANCE,EQ,865,865,867,817.15,832,826.7,836.66,6245328,5.22522E+14,165720,3740376,0.5989
19-08-2013,RELIANCE,EQ,826.7,823,834,807.55,817.15,820.25,818.16,3691650,3.02037E+14,138594,1906046,0.5163
20-08-2013,RELIANCE,EQ,820.25,811.1,830.8,805.05,822,825.35,818.99,2610167,2.1377E+14,65838,1205286,0.4618
21-08-2013,RELIANCE,EQ,825.35,833,834.7,780.2,785.75,783.6,807.96,3591352,2.90167E+14,110439,1830839,0.5098
22-08-2013,RELIANCE,EQ,783.6,782.45,808.65,774.2,804.65,806.1,791.47,5095979,4.03333E+14,184175,2714395,0.5327
23-08-2013,RELIANCE,EQ,806.1,813.7,824.7,808.5,818.45,819.5,816.25,3276098,2.67411E+14,118664,1689875,0.5158
26-08-2013,RELIANCE,EQ,819.5,822.5,831.45,808.4,823,822.6,819.7,2266639,1.85797E+14,109619,994696,0.4388
27-08-2013,RELIANCE,EQ,822.6,814,824.9,800,806,803.25,811.58,2993270,2.42927E+14,116005,1279492,0.4275
28-08-2013,RELIANCE,EQ,803.25,795.1,818.55,763.9,808,811.8,790.24,5900451,4.66275E+14,171718,2848679,0.4828
29-08-2013,RELIANCE,EQ,811.8,816,853.4,812.5,837.3,845.25,834.9,7049010,5.88525E+14,166354,3473613,0.4928
30-08-2013,RELIANCE,EQ,845.25,843.8,860,828.3,849.5,853.85,843.77,4901683,4.13588E+14,122883,2489878,0.508
02-09-2013,RELIANCE,EQ,853.85,853.2,890,853.2,888,886.75,874.01,4812235,4.20595E+14,109127,2854908,0.5933
03-09-2013,RELIANCE,EQ,886.75,888.2,891.7,828.3,828.45,831,852.09,3960633,3.3748E+14,134081,1904821,0.4809
04-09-2013,RELIANCE,EQ,831,833.75,864.55,833,846.9,849.35,852.22,3045550,2.59548E+14,117776,959853,0.3152
05-09-2013,RELIANCE,EQ,849.35,863,869.75,851.1,857.9,862.55,861.71,3258258,2.80767E+14,87931,1527492,0.4688
06-09-2013,RELIANCE,EQ,862.55,870,873.5,841.5,864.7,868,859.67,3439791,2.95709E+14,97411,1470346,0.4275
10-09-2013,RELIANCE,EQ,868,872.9,893.55,866.25,886.45,890.35,881.07,4227364,3.72458E+14,124854,2068132,0.4892
11-09-2013,RELIANCE,EQ,890.35,889,892.9,874.15,885.8,887.75,884.41,3396942,3.0043E+14,160682,1740251,0.5123
12-09-2013,RELIANCE,EQ,887.75,888,901,871.15,872.15,875.4,883.99,4109760,3.63301E+14,124450,1789014,0.4353
13-09-2013,RELIANCE,EQ,875.4,868,883.7,867.05,871.1,873,875.61,2246049,1.96666E+14,71199,970909,0.4323
16-09-2013,RELIANCE,EQ,873,885.95,887.7,854,858.65,861.75,868.91,2754524,2.39343E+14,65665,1221443,0.4434
17-09-2013,RELIANCE,EQ,861.75,856.35,864,852.6,857.95,858.15,858.31,2498437,2.14444E+14,79164,1615287,0.6465
18-09-2013,RELIANCE,EQ,858.15,860.5,875,856.8,873.55,871.95,867.54,3132560,2.71761E+14,89739,2004510,0.6399
19-09-2013,RELIANCE,EQ,871.95,888.05,895.95,880.55,888.35,890.6,887.26,4328339,3.84034E+14,119594,2783254,0.643
20-09-2013,RELIANCE,EQ,890.6,886,901,870.5,886.5,881.9,885.92,4197357,3.71852E+14,100478,2315568,0.5517
23-09-2013,RELIANCE,EQ,881.9,872.05,881,865,871.9,874.35,871.87,2028677,1.76875E+14,48726,1036277,0.5108
24-09-2013,RELIANCE,EQ,874.35,872,884.55,868.15,874.65,874.6,877.07,2823675,2.47656E+14,60400,1669210,0.5911
25-09-2013,RELIANCE,EQ,874.6,872.4,874.9,842.2,846.5,849.05,851.86,3993925,3.40227E+14,102515,2158643,0.5405
26-09-2013,RELIANCE,EQ,849.05,846.65,850.15,835.25,840.1,838.25,840.74,4543087,3.81956E+14,84976,2661478,0.5858
27-09-2013,RELIANCE,EQ,838.25,842,854.5,837,839,839.9,845.14,2744478,2.31946E+14,74409,1294090,0.4715
30-09-2013,RELIANCE,EQ,839.9,832.05,844.5,819.1,821.5,822.4,830.49,3639687,3.02274E+14,121981,2082108,0.5721
01-10-2013,RELIANCE,EQ,822.4,826.3,829.9,817.7,821.05,821.45,824.01,2082088,1.71566E+14,97017,999624,0.4801
03-10-2013,RELIANCE,EQ,821.45,823.4,848.9,823.4,845.1,846.95,838.91,2082009,1.74663E+14,64110,880902,0.4231
04-10-2013,RELIANCE,EQ,846.95,840.55,859.7,838,853,854.4,851,2265225,1.92771E+14,65146,850112,0.3753
07-10-2013,RELIANCE,EQ,854.4,847.6,852.4,836,844.9,844.05,841.97,2575155,2.1682E+14,84731,1385569,0.5381
08-10-2013,RELIANCE,EQ,844.05,849.7,854.7,839.2,842.9,844.95,844.53,2770271,2.33958E+14,77530,1636505,0.5907
09-10-2013,RELIANCE,EQ,844.95,839.95,867.65,837.5,859.15,860.9,856.64,2732625,2.34087E+14,75058,1377767,0.5042
10-10-2013,RELIANCE,EQ,860.9,859,862.8,848.05,861,860,855.61,2142108,1.83282E+14,65873,912973,0.4262
11-10-2013,RELIANCE,EQ,860,865,868,854.3,863.6,863.35,861.12,2233967,1.92372E+14,65373,812249,0.3636
14-10-2013,RELIANCE,EQ,863.35,865,875,863.2,874.05,870.3,869.48,2778882,2.41619E+14,81454,1235880,0.4447
15-10-2013,RELIANCE,EQ,870.3,897.3,898.65,864,866.5,867.8,876.23,5266950,4.61504E+14,118672,2236427,0.4246
17-10-2013,RELIANCE,EQ,867.8,870,888,864.65,879.4,880.35,880.02,4026153,3.54308E+14,109122,2289206,0.5686
18-10-2013,RELIANCE,EQ,880.35,881.6,908,881.6,903.5,905.65,899.34,5069374,4.55911E+14,124361,3028364,0.5974
21-10-2013,RELIANCE,EQ,905.65,905.65,915.5,896.15,913,913.2,907.16,3461572,3.14021E+14,79782,2053221,0.5931
22-10-2013,RELIANCE,EQ,913.2,907.4,910.95,897.5,904,904.2,903.58,2342103,2.11627E+14,69396,1290899,0.5512
23-10-2013,RELIANCE,EQ,904.2,905.2,909.2,887.65,895.05,896.75,897.5,2044698,1.83511E+14,61063,989111,0.4837
24-10-2013,RELIANCE,EQ,896.75,892.05,911,881.35,883.75,884.5,896.89,2678332,2.40217E+14,77224,1350263,0.5041
25-10-2013,RELIANCE,EQ,884.5,884.1,892.8,879.35,885,887,886.53,2273430,2.01545E+14,70946,1274644,0.5607
28-10-2013,RELIANCE,EQ,887,888,904.85,887.85,890.4,890.75,897.8,3514321,3.15515E+14,83458,2095786,0.5964
29-10-2013,RELIANCE,EQ,890.75,889.1,903.95,883.9,896.05,896.8,895.29,3303172,2.95728E+14,96578,2091187,0.6331
30-10-2013,RELIANCE,EQ,896.8,896.5,902.9,894.7,896.75,898.15,898.37,2197777,1.97441E+14,53368,1492443,0.6791
31-10-2013,RELIANCE,EQ,898.15,900,918,896,915,914.7,910.69,4521314,4.11752E+14,87771,3103144,0.6863
01-11-2013,RELIANCE,EQ,914.7,910.1,926.55,903.35,908.5,908.25,912.98,2718063,2.48155E+14,111014,1512390,0.5564
03-11-2013,RELIANCE,EQ,908.25,910,914.4,906.8,907.7,908.7,910.93,425619,3.87709E+13,13701,155321,0.3649
05-11-2013,RELIANCE,EQ,908.7,903.35,921.7,903.35,909.4,909.7,913.18,2504263,2.28683E+14,60984,1413756,0.5645
06-11-2013,RELIANCE,EQ,909.7,910,919.9,894.95,900.8,898.6,903.62,2198926,1.987E+14,71038,1295525,0.5892
07-11-2013,RELIANCE,EQ,898.6,899,905.8,882.1,885.55,885.9,895.35,2238424,2.00417E+14,80779,1144077,0.5111
08-11-2013,RELIANCE,EQ,885.9,886,888,871.15,874.15,875.95,877.46,2001425,1.75617E+14,55038,975628,0.4875
11-11-2013,RELIANCE,EQ,875.95,874,882.1,860.2,864.95,863.9,870.92,2034671,1.77203E+14,59158,908960,0.4467
12-11-2013,RELIANCE,EQ,863.9,865,871.6,850.2,850.5,852.6,860.67,2781812,2.39421E+14,92328,1716389,0.617
13-11-2013,RELIANCE,EQ,852.6,849.9,861.4,842.1,843.05,844.4,851.06,1918164,1.63247E+14,66664,904810,0.4717
14-11-2013,RELIANCE,EQ,844.4,851.25,864,850.4,851.9,851.65,856.85,1835838,1.57304E+14,66198,866881,0.4722
18-11-2013,RELIANCE,EQ,851.65,858.1,877.75,856.15,876,874.75,869.66,2759723,2.40002E+14,82318,1622855,0.588
19-11-2013,RELIANCE,EQ,874.75,875,884.9,875,879,878.35,880.38,1928073,1.69743E+14,44683,1080888,0.5606
20-11-2013,RELIANCE,EQ,878.35,874.85,883,857,859.85,862.5,875.41,2992305,2.61949E+14,69818,1977586,0.6609
21-11-2013,RELIANCE,EQ,862.5,859.9,860,843.45,846.9,847.6,851.69,2620866,2.23217E+14,73200,1471352,0.5614
22-11-2013,RELIANCE,EQ,847.6,851,856.45,839.1,848.9,843.75,848.45,1710289,1.4511E+14,45624,662675,0.3875
25-11-2013,RELIANCE,EQ,843.75,847.35,856.85,844.05,850.9,851.7,851.07,2303754,1.96065E+14,58264,1482164,0.6434
26-11-2013,RELIANCE,EQ,851.7,850.5,856.8,837.55,840.5,841.25,846.01,3192390,2.70081E+14,69304,2023996,0.634
27-11-2013,RELIANCE,EQ,841.25,844.5,849.5,835.25,838,837.95,840.35,2610836,2.19401E+14,68865,1413918,0.5416
28-11-2013,RELIANCE,EQ,837.95,843.1,856.4,843.1,850.1,847.95,850.63,2867965,2.43957E+14,75951,1647029,0.5743
29-11-2013,RELIANCE,EQ,847.95,850.95,856.5,848.6,852,853.2,853.19,2259353,1.92765E+14,43503,1215153,0.5378
02-12-2013,RELIANCE,EQ,853.2,853,862.95,852.3,854.9,855.3,857.96,1650771,1.4163E+14,49955,772470,0.4679
03-12-2013,RELIANCE,EQ,855.3,855,865.5,850.65,861.5,861.9,859.7,2099451,1.80489E+14,56927,1096932,0.5225
04-12-2013,RELIANCE,EQ,861.9,860.9,867.5,853.2,858.1,856.05,860.14,2002635,1.72255E+14,67469,931657,0.4652
